,idade,qx_mil,dx,lx,Lx,Tx,expx,ano
1346,59,12.329170970488935,1009.2258293869711,81856.74704346714,81352.13412877366,1801072.2027495846,22.00273365118197,2009
1347,60,13.238164177754339,1070.2727591964701,80847.52121408017,80312.38483448194,1719720.068620811,21.27115393021239,2009
1348,61,14.225895175633033,1134.902773919608,79777.24845488371,79209.79706792391,1639407.6837863286,20.549814834908226,2009
1349,62,15.287667762911575,1202.2580528666233,78642.3456809641,78041.21665453078,1560197.8867184047,19.839157558293188,2009
1350,63,16.43091269404355,1272.4113188363517,77440.08762809748,76803.8819686793,1482156.6700638745,19.13939815230924,2009
1351,64,17.668869049525174,1345.7966985149556,76167.67630926112,75494.77796000364,1405352.788095195,18.45077670991415,2009
1352,65,18.981158032042675,1420.2059211460448,74821.87961074617,74111.77665017315,1329858.0101351917,17.773651464700617,2009
1353,66,20.41284683640457,1498.3371225615545,73401.67368960012,72652.50512831935,1255746.2334850186,17.107869212837013,2009
1354,67,22.050737777604937,1585.5216199746396,71903.33656703857,71110.57575705125,1183093.7283566992,16.453947547394414,2009
1355,68,23.946705797410925,1683.8800268541245,70317.81494706393,69475.87493363686,1111983.1525996479,15.813676142194716,2009
1356,69,26.08347167650505,1790.2112975383834,68633.93492020981,67738.82927144063,1042507.2776660105,15.18938523454869,2009
1357,70,28.395605463780555,1898.068003719366,66843.72362267143,65894.68962081175,974768.4483945699,14.582796941371427,2009
1358,71,30.851937801438005,2003.6993276295218,64945.65561895206,63943.8059551373,908873.758773758,13.99437345134038,2009
1359,72,33.49590611188542,2108.2978584325356,62941.95629132254,61887.80736210627,844929.9528186208,13.423954427280911,2009
1360,73,36.33467982501458,2210.3715017433565,60833.658432890006,59728.47268201833,783042.1454565146,12.871856890217193,2009
1361,74,39.382361786280434,2308.723495023343,58623.28693114665,57468.92518363498,723313.6727744963,12.338333632231025,2009
1362,75,42.64756598705372,2401.6790601741914,56314.56343612331,55113.72390603622,665844.7475908613,11.823668816080199,2009
1363,76,46.15935299178864,2488.5838607149217,53912.88437594912,52668.59244559166,610731.0236848252,11.328108869598454,2009
1364,77,49.96065573144416,2569.1917742719424,51424.3005152342,50139.70462809823,558062.4312392334,10.852115160495183,2009
1365,78,54.091080219391934,2642.625606034506,48855.108740962256,47533.795937945004,507922.72661113535,10.396512047577755,2009
